,highlight
2019-04-30 10:43:24,0
2019-04-30 10:43:25,0
2019-04-30 10:43:26,0
2019-04-30 10:43:27,0
2019-04-30 10:43:28,0
2019-04-30 10:43:29,0
2019-04-30 10:43:30,0
2019-04-30 10:43:31,0
2019-04-30 10:43:32,0
2019-04-30 10:43:33,0
2019-04-30 10:43:34,0
2019-04-30 10:43:35,0
2019-04-30 10:43:36,0
2019-04-30 10:43:37,0
2019-04-30 10:43:38,0
2019-04-30 10:43:39,0
2019-04-30 10:43:40,0
2019-04-30 10:43:41,0
2019-04-30 10:43:42,0
2019-04-30 10:43:43,0
2019-04-30 10:43:44,0
2019-04-30 10:43:45,0
2019-04-30 10:43:46,0
2019-04-30 10:43:47,0
2019-04-30 10:43:48,0
2019-04-30 10:43:49,0
2019-04-30 10:43:50,0
2019-04-30 10:43:51,0
2019-04-30 10:43:52,0
2019-04-30 10:43:53,0
2019-04-30 10:43:54,0
2019-04-30 10:43:55,0
2019-04-30 10:43:56,0
2019-04-30 10:43:57,0
2019-04-30 10:43:58,0
2019-04-30 10:43:59,0
2019-04-30 10:44:00,0
2019-04-30 10:44:01,0
2019-04-30 10:44:02,0
2019-04-30 10:44:03,0
2019-04-30 10:44:04,0
2019-04-30 10:44:05,0
2019-04-30 10:44:06,0
2019-04-30 10:44:07,0
2019-04-30 10:44:08,0
2019-04-30 10:44:09,0
2019-04-30 10:44:10,0
2019-04-30 10:44:11,0
2019-04-30 10:44:12,0
2019-04-30 10:44:13,0
2019-04-30 10:44:14,0
2019-04-30 10:44:15,0
2019-04-30 10:44:16,0
2019-04-30 10:44:17,0
2019-04-30 10:44:18,0
2019-04-30 10:44:19,0
2019-04-30 10:44:20,0
2019-04-30 10:44:21,0
2019-04-30 10:44:22,0
2019-04-30 10:44:23,0
2019-04-30 10:44:24,0
2019-04-30 10:44:25,0
2019-04-30 10:44:26,0
2019-04-30 10:44:27,0
2019-04-30 10:44:28,0
2019-04-30 10:44:29,0
2019-04-30 10:44:30,0
2019-04-30 10:44:31,0
2019-04-30 10:44:32,0
2019-04-30 10:44:33,0
2019-04-30 10:44:34,0
2019-04-30 10:44:35,0
2019-04-30 10:44:36,0
2019-04-30 10:44:37,0
2019-04-30 10:44:38,0
2019-04-30 10:44:39,0
2019-04-30 10:44:40,0
2019-04-30 10:44:41,0
2019-04-30 10:44:42,0
2019-04-30 10:44:43,0
2019-04-30 10:44:44,0
2019-04-30 10:44:45,0
2019-04-30 10:44:46,0
2019-04-30 10:44:47,0
2019-04-30 10:44:48,0
2019-04-30 10:44:49,0
2019-04-30 10:44:50,0
2019-04-30 10:44:51,0
2019-04-30 10:44:52,0
2019-04-30 10:44:53,0
2019-04-30 10:44:54,0
2019-04-30 10:44:55,0
2019-04-30 10:44:56,0
